Player name,position,Games,Runs,Hits,home run,run batted in,Strikeouts,AVG,On-base Percentage
C Bennett,C,1062,549,978,55,533,572,0.256,0.34
R P?rez,C,514,165,314,55,193,525,0.207,0.298
D Sisler,1B,800,302,720,55,360,253,0.276,0.336
C Dalrymple,C,1079,243,710,55,327,403,0.233,0.322
C Widger,C,613,180,435,55,222,384,0.238,0.296
G Alley,SS,1195,442,999,55,342,622,0.254,0.31
C Duncan,RF,389,164,295,55,175,316,0.257,0.348
C V?zquez,C,735,283,640,55,276,475,0.262,0.31
R Jordan,1B,677,261,592,55,304,303,0.281,0.308
J Jaso,C,808,295,573,55,281,412,0.258,0.356
C Castillo,RF,631,190,383,55,197,291,0.252,0.298
C Mullins,CF,433,230,421,55,157,340,0.264,0.329
J Baker,2B,748,244,474,54,235,472,0.264,0.318
C Kreuter,C,944,289,593,54,274,593,0.237,0.335
B Hatcher,LF,1233,586,1146,54,399,476,0.264,0.312
D Bergman,1B,1349,312,690,54,289,347,0.258,0.348
B Butler,CF,2213,1359,2375,54,578,907,0.29,0.377
J Jackson,LF,1332,872,1772,54,785,158,0.356,0.423
D Brown,LF,493,188,391,54,229,317,0.246,0.305
D Rhodes,LF,576,146,296,54,207,196,0.253,0.328
M Benard,CF,891,441,714,54,260,454,0.271,0.343
A Bumbry,CF,1496,778,1422,54,402,709,0.281,0.343
D Buford,CF,699,280,448,54,218,430,0.242,0.311
M Davidson,3B,311,109,221,54,157,381,0.22,0.29
